script,model_type,features_type,split_type,reg_mae,reg_rmse,reg_r2,clf_accuracy,clf_f1,clf_precision,clf_recall
1,Naive,series_mean,all,5.779,7.228,0.273,0.657,0.52,0.431,0.657
2,Ridge,hc,all_others,5.711,6.96,0.326,0.687,0.693,0.705,0.687
2,RF,hc,all_others,6.185,7.579,0.201,0.687,0.673,0.671,0.687
2,XGBoost,hc,all_others,6.707,8.112,0.084,0.626,0.618,0.614,0.626
2,Ridge,hc+hist,all_others,5.09,6.341,0.423,0.681,0.689,0.704,0.681
2,RF,hc+hist,all_others,5.928,7.452,0.204,0.67,0.667,0.664,0.67
2,XGBoost,hc+hist,all_others,6.387,7.995,0.083,0.681,0.672,0.668,0.681
2,Ridge,hc,same_player,6.529,8.778,-0.166,0.603,0.611,0.628,0.603
2,RF,hc,same_player,5.661,7.024,0.254,0.667,0.66,0.656,0.667
2,XGBoost,hc,same_player,6.736,8.194,-0.016,0.679,0.654,0.659,0.679
2,Ridge,hc+hist,same_player,5.371,6.947,0.27,0.641,0.646,0.654,0.641
2,RF,hc+hist,same_player,5.335,6.588,0.343,0.705,0.693,0.692,0.705
2,XGBoost,hc+hist,same_player,7.064,8.469,-0.085,0.679,0.654,0.659,0.679
2,Ridge,hc,combined,5.512,6.725,0.371,0.707,0.713,0.731,0.707
2,RF,hc,combined,5.563,6.805,0.355,0.677,0.66,0.659,0.677
2,XGBoost,hc,combined,6.127,7.575,0.201,0.626,0.614,0.609,0.626
2,Ridge,hc+hist,combined,4.876,6.217,0.446,0.714,0.723,0.748,0.714
2,RF,hc+hist,combined,5.172,6.449,0.404,0.67,0.659,0.653,0.67
2,XGBoost,hc+hist,combined,5.773,7.229,0.251,0.725,0.718,0.715,0.725
2,Ridge,hc,weighted,5.51,6.779,0.36,0.687,0.694,0.711,0.687
2,RF,hc,weighted,5.54,6.809,0.355,0.707,0.69,0.693,0.707
2,XGBoost,hc,weighted,6.092,7.567,0.203,0.626,0.614,0.609,0.626
2,Ridge,hc+hist,weighted,5.034,6.437,0.406,0.648,0.66,0.693,0.648
2,RF,hc+hist,weighted,4.914,6.178,0.453,0.714,0.708,0.705,0.714
2,XGBoost,hc+hist,weighted,5.444,7.006,0.296,0.714,0.711,0.709,0.714
02,Ridge,hc,cluster_only,5.054,6.338,0.441,0.727,0.726,0.725,0.727
02,RF,hc,cluster_only,5.066,6.498,0.412,0.717,0.71,0.708,0.717
02,XGBoost,hc,cluster_only,5.629,7.211,0.276,0.657,0.654,0.652,0.657
