feature,n_selected,pct_folds,avg_rank
value__quantile__q_0.7,31,34.065934065934066,2.2903225806451615
value__longest_strike_below_mean,25,27.472527472527474,2.52
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",25,27.472527472527474,2.08
value__quantile__q_0.1,24,26.373626373626376,2.7083333333333335
value__c3__lag_3,24,26.373626373626376,2.1666666666666665
value__quantile__q_0.8,23,25.274725274725274,1.9565217391304348
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",16,17.582417582417584,3.625
value__quantile__q_0.2,14,15.384615384615385,2.357142857142857
value__median,13,14.285714285714285,2.6153846153846154
value__minimum,13,14.285714285714285,1.0
value__quantile__q_0.9,10,10.989010989010989,3.2
value__quantile__q_0.4,9,9.89010989010989,4.0
value__quantile__q_0.3,9,9.89010989010989,2.6666666666666665
value__lempel_ziv_complexity__bins_5,9,9.89010989010989,1.4444444444444444
value__sum_values,9,9.89010989010989,2.888888888888889
value__root_mean_square,7,7.6923076923076925,3.142857142857143
value__ratio_value_number_to_time_series_length,7,7.6923076923076925,2.0
value__percentage_of_reoccurring_values_to_all_values,7,7.6923076923076925,3.0
value__maximum,7,7.6923076923076925,2.4285714285714284
value__absolute_maximum,7,7.6923076923076925,3.4285714285714284
"value__fft_coefficient__attr_""imag""__coeff_16",6,6.593406593406594,3.0
value__permutation_entropy__dimension_3__tau_1,6,6.593406593406594,4.0
value__c3__lag_1,6,6.593406593406594,2.0
"value__fft_coefficient__attr_""imag""__coeff_7",5,5.4945054945054945,2.0
value__c3__lag_2,5,5.4945054945054945,4.0
"value__fft_coefficient__attr_""abs""__coeff_0",5,5.4945054945054945,1.0
"value__fft_coefficient__attr_""real""__coeff_0",5,5.4945054945054945,3.0
value__mean,5,5.4945054945054945,4.0
value__quantile__q_0.6,4,4.395604395604396,1.0
"value__fft_coefficient__attr_""angle""__coeff_15",4,4.395604395604396,1.0
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",4,4.395604395604396,1.0
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",4,4.395604395604396,3.0
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",4,4.395604395604396,2.0
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",3,3.296703296703297,4.0
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",3,3.296703296703297,3.0
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",3,3.296703296703297,4.0
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",3,3.296703296703297,2.0
